Districts,2011,2012,2013,2014,2015,2016,2017,2018,2019
Lahore,10,15,11,24,13,7,9,10,12
Sheikhupura,14,13,5,17,11,11,9,10,5
Nankana Sahib,13,10,10,15,14,0,2,1,7
Kasur,10,13,10,10,13,13,8,7,6
Region Total,37,36,25,42,38,24,19,18,18
Gujranwala,11,9,7,7,9,8,5,15,13
Hafizabad,3,4,5,3,3,1,2,9,4
Gujrat,5,2,8,8,3,4,9,5,10
M.B.Din,14,9,12,14,4,7,3,8,10
Sialkot,4,7,8,4,3,5,0,2,5
Narowal,2,1,1,2,2,0,0,0,1
Region Total,39,32,41,38,24,25,19,39,43
Rawalpindi,2,2,4,3,4,7,3,4,0
Attock,1,0,1,1,2,3,5,5,3
Jhelum,2,1,2,1,1,0,0,2,3
Chakwal,2,5,2,3,1,2,4,6,1
Region Total,7,8,9,8,8,12,12,17,7
Sargodha,27,26,27,19,19,18,16,10,9
Khushab,5,7,6,7,5,8,6,6,1
Mianwali,11,14,20,12,11,5,8,14,7
Bhakkar,4,6,4,5,7,5,0,0,2
Region Total,47,53,57,43,42,36,30,30,19
Faisalabad,43,37,38,40,44,31,19,22,21
Jhang,12,14,19,16,19,14,11,11,6
T.T. Singh,2,4,3,2,2,0,0,2,3
Chiniot,14,16,32,18,11,16,7,8,9
Region Total,71,71,92,76,76,61,37,43,39
Multan,14,12,15,11,11,0,1,2,4
Lodhran,11,7,8,24,7,6,0,4,2
Khanewal,11,11,14,12,12,13,7,7,6
Vehari,7,11,8,7,9,2,0,7,6
Region Total,43,41,45,54,39,21,8,20,18
Sahiwal,23,15,14,14,7,11,9,8,5
Pakpattan,13,11,11,6,7,11,1,4,2
Okara,14,11,8,7,4,8,2,2,3
Region Total,50,37,33,27,18,30,12,14,10
D.G.Khan,10,7,10,11,5,5,2,2,2
Rajanpur,7,14,14,32,31,0,7,12,3
Muzaffargarh,11,14,11,15,12,2,5,12,6
Layyah,2,7,2,3,3,0,0,1,0
Region Total,30,42,37,61,51,7,14,27,11
Bahawalpur,11,7,8,12,7,5,4,5,3
Bahawalnagar,5,4,4,5,3,8,4,9,5
R.Y.Khan,14,20,26,14,9,12,13,12,12
Region Total,30,31,38,31,19,25,21,26,20
Punjab Total,364,366,388,404,328,248,181,244,197
